,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
232,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0151697513342,-1.0,1.0,0.000189491511372
233,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0189621891677,-1.0,1.0,0.000388857466063
234,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.198083067093,1.0,0.0153514250028,-1.0,1.0,0.000843604041069
237,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0189621891677,-1.0,1.0,6.71045236837e-05
243,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.952583172476,-1.0,1.0,0.00431654676259
244,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.952583172476,-1.0,1.0,0.00127226463104
249,0.0015015015015,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.471783808334,-1.0,1.0,0.00160901045857
251,-1.0,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.160576813898,-1.0,1.0,8.00768737988e-05
252,0.004004004004,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.730532530941,-1.0,1.0,0.000187118745556
253,0.004004004004,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.730532530941,-1.0,1.0,1.45022115873e-05
256,0.004004004004,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.73055524015,-1.0,1.0,0.000280072818933
259,0.00275275275275,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,-1.0,-1.0,1.0,0.00104058272633
260,0.00275275275275,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,-1.0,-1.0,1.0,0.00119280906535
261,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.62550244124,-1.0,1.0,0.0010649627263
262,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.62550244124,-1.0,1.0,0.000827557670425
265,0.0015015015015,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,-1.0,-1.0,1.0,0.00155763239875
268,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.625457022823,-1.0,1.0,0.000863557858377
269,0.000750750750751,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.625457022823,-1.0,1.0,0.000469704086426
270,0.002002002002,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.491813330305,-1.0,1.0,0.000650387950707
272,-1.0,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.365527421369,-1.0,1.0,0.000383549968038
274,0.001001001001,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.365527421369,-1.0,1.0,0.000656311529206
277,0.001001001001,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.463245145907,-1.0,1.0,0.00132802124834
280,-1.0,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.463245145907,-1.0,1.0,0.000466681403974
297,-1.0,0.495207667732,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,-1.0,-1.0,1.0,2.70969664946e-05
298,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.00717610991257,-1.0,1.0,8.94222849747e-05
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.143340524583,-1.0,1.0,0.000175557412626
300,0.74974974975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.143385943,-1.0,1.0,0.000195866060259
310,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.201362552515,-1.0,1.0,0.00023321604932
311,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.201339843306,-1.0,1.0,0.000150519669158
