,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Duration,conversion
187,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.341160440559,0.00012356962829
188,0.504792332268,0.635782747604,1.0,0.364217252396,0.374374374374,0.00236175769274,0.00022174353776
191,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.341183149767,0.000205942033375
193,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.201430680141,0.000131608710852
195,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.302918133303,8.28397465104e-05
196,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.34113773135,0.000165024145638
199,0.495207667732,0.635782747604,1.0,0.635782747604,0.124124124124,-1.0,0.000594726756096
200,0.504792332268,0.635782747604,1.0,0.635782747604,0.124124124124,0.106778698762,0.000673905856623
204,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.384716702623,0.0010104071941
207,0.504792332268,0.364217252396,1.0,0.364217252396,-1.0,0.63415464971,0.00072387103959
216,0.504792332268,0.635782747604,1.0,0.635782747604,0.0457957957958,0.0707846031566,5.42446433415e-05
217,0.504792332268,0.635782747604,1.0,0.635782747604,0.156656656657,0.0309526513001,0.000203746418716
218,0.504792332268,0.635782747604,1.0,0.635782747604,0.156656656657,0.0310889065516,0.000134898151895
220,0.504792332268,0.635782747604,1.0,0.635782747604,0.136636636637,0.0011354604292,0.000195256299585
222,0.504792332268,0.635782747604,1.0,0.635782747604,0.136636636637,0.0635176564097,0.000113406909523
223,0.495207667732,0.635782747604,1.0,0.635782747604,0.170670670671,0.19936414216,8.49096655503e-05
226,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0625638696491,1.25982664785e-05
227,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0420347450891,0.000182977543665
228,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0516634495288,0.00018788102596
229,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0138526172363,8.07787067329e-05
230,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0189621891677,0.000209663245141
231,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0169183603951,1.80559191817e-05
232,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0151697513342,0.000189491511372
233,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0189621891677,0.000388857466063
234,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0153514250028,0.000843604041069
236,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0189621891677,4.61151803488e-05
237,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0189621891677,6.71045236837e-05
243,0.504792332268,0.635782747604,1.0,0.364217252396,0.000750750750751,0.952583172476,0.00431654676259
249,0.495207667732,0.635782747604,1.0,0.364217252396,0.0015015015015,0.471783808334,0.00160901045857
251,0.504792332268,0.364217252396,1.0,0.364217252396,-1.0,0.160576813898,8.00768737988e-05
253,0.495207667732,0.635782747604,1.0,0.364217252396,0.004004004004,0.730532530941,1.45022115873e-05
255,0.495207667732,0.635782747604,1.0,0.364217252396,0.004004004004,0.73055524015,0.00042744176106
256,0.495207667732,0.635782747604,1.0,0.364217252396,0.004004004004,0.73055524015,0.000280072818933
261,0.504792332268,0.635782747604,1.0,0.364217252396,0.000750750750751,0.62550244124,0.0010649627263
266,0.495207667732,0.635782747604,1.0,0.635782747604,0.0015015015015,-1.0,0.000751032669921
267,0.495207667732,0.635782747604,1.0,0.635782747604,0.0015015015015,-1.0,0.00118530225207
269,0.504792332268,0.635782747604,1.0,0.364217252396,0.000750750750751,0.625457022823,0.000469704086426
272,0.504792332268,0.364217252396,1.0,0.364217252396,-1.0,0.365527421369,0.000383549968038
277,0.504792332268,0.364217252396,1.0,0.364217252396,0.001001001001,0.463245145907,0.00132802124834
278,0.504792332268,0.364217252396,1.0,0.364217252396,0.001001001001,0.463245145907,0.000598086124402
279,0.504792332268,0.364217252396,1.0,0.364217252396,0.001001001001,0.463245145907,0.000580687193723
296,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.135415010787,0.00288471103153
299,0.504792332268,0.635782747604,1.0,0.635782747604,1.0,0.143340524583,0.000175557412626
300,0.504792332268,0.635782747604,1.0,0.635782747604,0.74974974975,0.143385943,0.000195866060259
311,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.201339843306,0.000150519669158
312,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.384648574997,0.000768926578496
