,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Paid Initiative Daily Budget,Paid Initiative Lifetime Budget,conversion
279,2,1,1,2,0.08,670,1968.76,0.000580687
280,2,1,1,2,100,670,1968.76,0.000466681
281,2,2,1,2,0.08,1,326.38,0
282,1,1,1,2,100,12,500,0
283,1,1,1,2,100,12,500,0
284,1,1,1,2,100,12,500,0
285,2,1,1,2,100,7,3000,0
286,2,1,1,2,100,7,3000,0
287,1,2,1,2,0.08,18,279,0
288,2,1,1,1,100,185,221,0
289,2,2,1,2,0.15,300,3000,0
290,1,2,1,2,0.15,75,3000,0
291,2,2,1,2,0.15,10,350,0
292,1,1,1,2,100,90,800,0
293,1,1,1,2,100,90,800,0
294,1,1,1,2,100,90,800,0
295,2,2,1,2,0.1,35,40.8,0
296,2,1,1,1,100,750,3000,0.002884711
297,1,1,1,1,100,1000,1000,2.71E-05
298,2,1,1,1,100,1000,1000,8.94E-05
299,2,2,1,1,40,74000,349700,0.000175557
300,2,2,1,1,30,70000,339767,0.000195866
301,2,2,1,1,8,1000,1000,0
302,2,2,1,2,8,4000,4000,0
303,2,2,1,2,8,3000,3000,0
304,2,2,1,2,8,3000,3000,0
305,2,2,1,2,8,1500,1500,0
306,2,2,1,2,8,2500,2500,0
307,1,1,1,1,100,8560,60415.27,0
308,1,1,1,1,100,8560,60415.27,0
309,1,1,1,1,100,8560,60415.27,0
310,2,2,1,1,3,660,3959,0.000233216
311,2,2,1,1,3,930,5580,0.00015052
312,2,2,1,1,3,86,1030,0.000768927
