,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Duration,Countries,conversion
188,1.0,1.0,1.0,0.364217252396,0.374374374374,0.00236175769274,0.466453674121,0.00022174353776
191,1.0,1.0,1.0,1.0,0.0740740740741,0.341183149767,0.466453674121,0.000205942033375
193,1.0,1.0,1.0,1.0,0.0740740740741,0.201430680141,0.466453674121,0.000131608710852
194,1.0,1.0,1.0,1.0,0.0740740740741,0.105075508119,0.466453674121,5.85868843495e-05
198,1.0,1.0,1.0,1.0,0.499499499499,0.105416146247,0.466453674121,0.000560102925845
199,0.495207667732,1.0,1.0,1.0,0.124124124124,-1.0,0.466453674121,0.000594726756096
202,1.0,1.0,1.0,1.0,0.499499499499,0.106687861928,0.466453674121,0.000737337959549
203,0.495207667732,1.0,1.0,1.0,0.124124124124,-1.0,0.466453674121,0.000561533110176
204,1.0,1.0,1.0,1.0,0.0740740740741,0.384716702623,0.466453674121,0.0010104071941
205,1.0,1.0,1.0,1.0,0.0740740740741,0.384807539457,0.466453674121,0.000904507710558
207,1.0,0.364217252396,1.0,0.364217252396,-1.0,0.63415464971,0.297124600639,0.00072387103959
210,1.0,0.364217252396,1.0,1.0,-1.0,0.0339502668332,0.297124600639,0.000899853773762
211,1.0,0.364217252396,1.0,1.0,-1.0,0.0339502668332,0.297124600639,0.000127980888187
216,1.0,1.0,1.0,1.0,0.0457957957958,0.0707846031566,0.178913738019,5.42446433415e-05
217,1.0,1.0,1.0,1.0,0.156656656657,0.0309526513001,0.0766773162939,0.000203746418716
218,1.0,1.0,1.0,1.0,0.156656656657,0.0310889065516,0.0766773162939,0.000134898151895
219,1.0,1.0,1.0,1.0,0.119369369369,0.0151016237084,0.0766773162939,0.00810036488319
220,1.0,1.0,1.0,1.0,0.136636636637,0.0011354604292,0.0766773162939,0.000195256299585
222,1.0,1.0,1.0,1.0,0.136636636637,0.0635176564097,0.0766773162939,0.000113406909523
223,0.495207667732,1.0,1.0,1.0,0.170670670671,0.19936414216,0.0766773162939,8.49096655503e-05
224,0.495207667732,1.0,1.0,1.0,0.170670670671,0.198183263313,0.0766773162939,3.66133840225e-05
225,0.495207667732,1.0,1.0,1.0,0.128128128128,0.231906438061,0.466453674121,0.000242096713732
226,1.0,0.364217252396,1.0,1.0,-1.0,0.0625638696491,0.466453674121,1.25982664785e-05
227,1.0,0.364217252396,1.0,1.0,-1.0,0.0420347450891,0.121405750799,0.000182977543665
229,1.0,0.364217252396,1.0,1.0,-1.0,0.0138526172363,0.121405750799,8.07787067329e-05
230,1.0,0.364217252396,1.0,1.0,-1.0,0.0189621891677,0.121405750799,0.000209663245141
