,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Countries,Max Bid,Duration,Duration Days,Frequency Cap,conversion
265,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.00155763239875
266,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.000751032669921
267,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.654952076677,0.0015015015015,-1.0,1.0,-1.0,0.00118530225207
268,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.625457022823,1.0,-1.0,0.000863557858377
269,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.000750750750751,0.625457022823,1.0,-1.0,0.000469704086426
270,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.654952076677,0.002002002002,0.491813330305,1.0,-1.0,0.000650387950707
272,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,-1.0,0.365527421369,1.0,-1.0,0.000383549968038
273,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.365527421369,1.0,-1.0,0.000576645843345
274,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.365527421369,1.0,-1.0,0.000656311529206
277,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.00132802124834
278,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.000598086124402
279,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,0.001001001001,0.463245145907,1.0,-1.0,0.000580687193723
280,1.0,1.0,1.0,0.364217252396,1.0,0.364217252396,1.0,1.0,0.654952076677,-1.0,0.463245145907,1.0,-1.0,0.000466681403974
296,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,0.135415010787,1.0,-1.0,0.00288471103153
297,0.495207667732,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,-1.0,1.0,-1.0,2.70969664946e-05
298,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.178913738019,-1.0,0.00717610991257,1.0,-1.0,8.94222849747e-05
299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00638977635783,1.0,0.143340524583,1.0,-1.0,0.000175557412626
300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00638977635783,0.74974974975,0.143385943,1.0,-1.0,0.000195866060259
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201362552515,1.0,-1.0,0.00023321604932
311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466453674121,0.0740740740741,0.201339843306,1.0,-1.0,0.000150519669158
312,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.466453674121,0.0740740740741,0.384648574997,1.0,-1.0,0.000768926578496
